Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
47,2.0,0.0,0.0,175.0,7.0,28.0,1391.0,0.1,4691.591858688791,0.0,0.0,274.40883708000183,,,,,,,,,,,,,,,,,,,,,1608.2159851106767,1376.6938449185902,4327.406777734722,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,207.0,8.0,32.0,1423.0,0.1,6112.765530403354,0.0,0.0,278.2540740966797,,,,,,,,,,,,,,,,,,,,,2394.8514668594316,1674.0499223985807,5454.966902365406,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,224.0,9.0,17.0,1440.0,0.1,3204.9216831722956,0.0,0.0,280.61530804634094,,,,,,,,,,,,,,,,,,,,,1187.1933291652622,1046.3799027827781,3064.0738875769825,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,253.0,10.0,29.0,1469.0,0.1,6015.79341755724,0.0,0.0,283.9863610267639,,,,,,,,,,,,,,,,,,,,,2124.1317499250813,1820.2945385885084,5509.432925292284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,277.0,11.0,24.0,1493.0,0.1,6902.752900531984,0.0,0.0,286.9294898509979,,,,,,,,,,,,,,,,,,,,,2931.79374088568,2117.815512849428,6324.9896977037215,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,302.0,12.0,25.0,1518.0,0.1,5125.100432771147,0.0,0.0,289.9740717411041,,,,,,,,,,,,,,,,,,,,,2250.1141112842297,1450.9377525385514,4655.2105958066395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,323.0,13.0,21.0,1539.0,0.1,4352.750991050697,0.0,0.0,292.48650884628296,,,,,,,,,,,,,,,,,,,,,1135.679269243628,1348.5662336135233,4197.79445414706,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,349.0,14.0,26.0,1565.0,0.1,3281.744094058534,0.0,0.0,295.9046928882599,,,,,,,,,,,,,,,,,,,,,1198.843914011317,1107.603570846869,3030.3486138308235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,379.0,15.0,30.0,1595.0,0.1,9721.730585221876,0.0,0.0,299.52174496650696,,,,,,,,,,,,,,,,,,,,,3860.6005979260567,2758.6048725406763,8737.425166660607,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,398.0,16.0,19.0,1614.0,0.1,2333.1541776912954,0.0,0.0,301.9618375301361,,,,,,,,,,,,,,,,,,,,,708.4522630154846,726.0966784382794,2243.187682602135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,418.0,17.0,20.0,1634.0,0.1,4319.7033672471225,0.0,0.0,304.4487338066101,,,,,,,,,,,,,,,,,,,,,1477.547358021732,1415.9085379055143,4105.901332152613,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,450.0,18.0,32.0,1666.0,0.1,7415.932418017133,0.0,0.0,308.2763125896454,,,,,,,,,,,,,,,,,,,,,2931.528193545031,2036.7559858153043,6609.369856221529,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,498.0,19.0,48.0,1714.0,0.1,8655.999191188577,0.0,0.0,313.87102222442627,,,,,,,,,,,,,,,,,,,,,3538.0517024840155,2234.329892978702,7099.004564836493,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,523.0,20.0,25.0,1739.0,0.1,5704.370095662396,0.0,0.0,316.9700081348419,,,,,,,,,,,,,,,,,,,,,2077.0393421561366,1735.3857351762986,5290.389001248198,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,18.0,1.0,18.0,1757.0,0.1,3373.736643977418,0.0,0.0,373.23306822776794,,,,,,,,,,,,,,,,,,,,,1351.5243317726683,982.6645836096399,3194.0233284953947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,43.0,2.0,25.0,1782.0,0.1,4291.120424321696,0.0,0.0,376.50296449661255,,,,,,,,,,,,,,,,,,,,,1746.0904666821964,1267.263172439637,3932.861756607639,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,63.0,3.0,20.0,1802.0,0.1,5353.877093659477,0.0,0.0,379.1939597129822,,,,,,,,,,,,,,,,,,,,,1800.667364055121,1647.8860516791306,5095.136844044947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,102.0,4.0,39.0,1841.0,0.1,10471.085426255546,0.0,0.0,383.71035623550415,,,,,,,,,,,,,,,,,,,,,4125.413745738614,2668.246098903984,9042.112096130479,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,146.0,5.0,44.0,1885.0,0.1,9213.734625175533,0.0,0.0,388.6332094669342,,,,,,,,,,,,,,,,,,,,,3839.804906219529,2628.784821538978,7676.992619568351,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,188.0,6.0,42.0,1927.0,0.1,8860.045136381043,0.0,0.0,393.501056432724,,,,,,,,,,,,,,,,,,,,,3060.8151555431114,2236.208467238039,7728.295858639869,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,241.0,7.0,53.0,1980.0,0.1,13155.135199188442,0.0,0.0,399.47142457962036,,,,,,,,,,,,,,,,,,,,,5473.133611928356,3285.671490000169,10462.579721320688,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,265.0,8.0,24.0,2004.0,0.1,4726.495028797904,0.0,0.0,402.6714334487915,,,,,,,,,,,,,,,,,,,,,1693.1468777959608,1440.6129014022745,4407.8561148116205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,280.0,9.0,15.0,2019.0,0.1,3769.5645195723046,0.0,0.0,404.7558171749115,,,,,,,,,,,,,,,,,,,,,1654.4125187315383,1356.601639789392,3592.9013792088285,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,335.0,10.0,55.0,2074.0,0.1,12928.909240768358,0.0,0.0,410.6650369167328,,,,,,,,,,,,,,,,,,,,,4639.855963668765,2924.0330197914,10587.683359606708,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,363.0,11.0,28.0,2102.0,0.1,5919.246624608573,0.0,0.0,414.0000071525574,,,,,,,,,,,,,,,,,,,,,2031.3100862968022,1735.2523942168325,5459.116213085877,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,382.0,12.0,19.0,2121.0,0.1,4523.917247575327,0.0,0.0,416.38426661491394,,,,,,,,,,,,,,,,,,,,,1660.5431465620204,1565.9115301357704,4293.86190156978,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,406.0,13.0,24.0,2145.0,0.1,3877.4134531747886,0.0,0.0,419.5338718891144,,,,,,,,,,,,,,,,,,,,,1812.6419869080844,1162.95958270322,3512.273621382356,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,431.0,14.0,25.0,2170.0,0.1,6277.425601017203,0.0,0.0,422.4556806087494,,,,,,,,,,,,,,,,,,,,,2912.7078417915163,1678.0160991949685,5661.9208657987165,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,454.0,15.0,23.0,2193.0,0.1,3931.768193900912,0.0,0.0,425.3535339832306,,,,,,,,,,,,,,,,,,,,,1495.9620395697693,1255.757903342333,3660.54170472387,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,480.0,16.0,26.0,2219.0,0.1,5699.012939393002,0.0,0.0,428.4914689064026,,,,,,,,,,,,,,,,,,,,,2394.1794549165675,1751.7243626648908,5179.600327634623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,513.0,17.0,33.0,2252.0,0.1,5950.672285580279,0.0,0.0,432.4555139541626,,,,,,,,,,,,,,,,,,,,,1977.3035463368324,1724.982561184241,5405.736267002472,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,545.0,18.0,32.0,2284.0,0.1,6779.162699413272,0.0,0.0,436.1178653240204,,,,,,,,,,,,,,,,,,,,,3015.4434131176886,1573.187116713186,5932.273040726059,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,560.0,19.0,15.0,2299.0,0.1,3777.04546387441,0.0,0.0,438.1339523792267,,,,,,,,,,,,,,,,,,,,,1672.9069207068735,1132.3835636962729,3597.7037299952844,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,597.0,20.0,37.0,2336.0,0.1,6866.977275267456,0.0,0.0,442.42769837379456,,,,,,,,,,,,,,,,,,,,,2747.3345086358627,1903.9800909705073,5969.251614194657,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,42.0,1.0,42.0,2378.0,0.1,9783.512369872362,0.0,0.0,508.92480993270874,,,,,,,,,,,,,,,,,,,,,4207.086457647237,2353.827225407798,8179.304211468746,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
